prompt_id,query,response,domain,is_hallucination,hallucination_type,risk_level,consistency_score,has_numeric_claim,has_named_entity,asks_about_person,asks_for_list,asks_specific_count,query_length,response_length,query_word_count,query_char_count,has_question_mark,question_type,demands_numeric,has_temporal_ref,demands_specificity,domain_academic,domain_finance,domain_medical,specificity_demand_score,length_bin,specificity_bin,semantic_consistency,semantic_consistency_min,semantic_consistency_std,lexical_overlap,numeric_variance,numeric_agreement,length_cv,composite_consistency,predicted_risk
0,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.97,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,0.9373194490429435,0.8955324150715728,0.051178455547102625,0.8,0.0,1.0,0.09930363822093964,0.9150670519729894,0.0
1,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.924,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,0.8546140260163442,0.6365350650408604,0.17806072600875356,0.5555555555555556,0.0,1.0,0.18181818181818182,0.8165930851540124,0.0
2,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.941,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,0.7023619867167185,0.42651853863257677,0.19630968336722532,0.5,0.0,1.0,0.15212000482437738,0.750520793721812,0.5568296795952787
3,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.952,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,0.8579369749765926,0.7632282916276542,0.11599397420786221,0.6,0.0,1.0,0.17923095678901302,0.8273285986328345,0.0
4,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.988,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,0.8493585955282683,0.6495091550523407,0.11506533928534281,0.5263157894736842,56.0,1.0,0.12108052620946315,0.8207904908641517,0.0
5,Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,literature,False,none,low,0.988,False,True,1,0,False,5,6,5,27,1,person,0,0,0,0,0,0,0,short,low,0.840698922528361,0.6017473063209019,0.19510317764054452,0.6,0.0,1.0,0.23529411764705885,0.8092207454819327,0.0
6,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.995,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,0.8546140260163442,0.6365350650408604,0.17806072600875356,0.5555555555555556,0.0,1.0,0.18181818181818182,0.8165930851540124,0.0
7,Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,literature,False,none,low,0.931,False,True,1,0,False,5,6,5,27,1,person,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.952,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,0.9212336763911637,0.8030841909779091,0.09646865087829269,0.8,0.0,1.0,0.08823529411764706,0.9108464117329362,0.0
9,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.943,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,0.8546140260163442,0.6365350650408604,0.17806072600875356,0.5555555555555556,0.0,1.0,0.18181818181818182,0.8165930851540124,0.0
10,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.998,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5568296795952787
11,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.922,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,0.6742568843784629,0.32083992439256703,0.2311748649859298,0.38461538461538464,0.0,1.0,0.23561615911030664,0.6995025988524007,0.0
12,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.933,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,0.9037608663558195,0.7594021658895489,0.11786838535787984,0.5454545454545454,0.0,1.0,0.15789473684210525,0.8390163082648158,0.0
13,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.983,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,0.8493585955282683,0.6495091550523407,0.1150653392853428,0.5263157894736842,56.0,1.0,0.12108052620946315,0.8207904908641517,0.0
14,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.985,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,0.8477045405351982,0.6822671694649389,0.11269978854886335,0.5263157894736842,56.0,1.0,0.1115546702045434,0.8220340400679074,0.0
